region,date,year,month,precip_mm,pet_mm,water_balance,water_balance_1m,water_balance_3m,water_balance_6m,water_balance_9m,water_balance_12m,SPEI_1m,SPEI_3m,SPEI_6m,SPEI_9m,SPEI_12m
Napak,1981-01-01,1981,1,6.666464462,488.5680514,-481.901587,-481.901587,,,,,-1.382269464,,,,
Napak,1981-02-01,1981,2,15.59066629,498.6983275,-483.1076612,-483.1076612,,,,,-1.393880541,,,,
Napak,1981-03-01,1981,3,199.0325632,468.4981684,-269.4656053,-269.4656053,-1234.474853,,,,0.6628870021,-0.8538352752,,,
Napak,1981-04-01,1981,4,154.873202,378.3759122,-223.5027103,-223.5027103,-976.0759767,,,,1.105379423,0.1465166394,,,
Napak,1981-05-01,1981,5,150.9315383,372.8431333,-221.911595,-221.911595,-714.8799105,,,,1.120697354,1.157697448,,,
Napak,1981-06-01,1981,6,135.1046286,380.6991612,-245.5945326,-245.5945326,-691.0088379,-1925.483691,,,0.8926977814,1.250110671,0.2783289643,,
Napak,1981-07-01,1981,7,224.4275499,343.6097317,-119.1821818,-119.1821818,-586.6883095,-1562.764286,,,2.10969047,1.653971716,1.257399903,,
Napak,1981-08-01,1981,8,153.5722584,362.9026087,-209.3303503,-209.3303503,-574.1070648,-1288.986975,,,1.241819085,1.70267809,1.996393751,,
Napak,1981-09-01,1981,9,117.52543,385.5280079,-268.0025779,-268.0025779,-596.5151101,-1287.523948,-2521.998801,,0.676971809,1.615928753,2.00034283,1.550486886,
Napak,1981-10-01,1981,10,30.25380974,415.9308165,-385.6770068,-385.6770068,-863.009935,-1449.698244,-2425.774221,,-0.4558994543,0.5842346077,1.562593598,1.835053236,
Napak,1981-11-01,1981,11,40.14459187,429.6565019,-389.51191,-389.51191,-1043.191495,-1617.298559,-2332.17847,,-0.4928187045,-0.1133108712,1.110198178,2.111845311,
Napak,1981-12-01,1981,12,4.569643933,457.2048055,-452.6351615,-452.6351615,-1227.824078,-1824.339188,-2515.348026,-3749.82288,-1.100516727,-0.8280878117,0.5513434269,1.57015532,1.076058843
Napak,1982-01-01,1982,1,8.011139377,466.083909,-458.0727696,-458.0727696,-1300.219841,-2163.229776,-2749.918086,-3725.994062,-1.152865483,-1.108356987,-0.3634075382,0.8764578732,1.15767715
Napak,1982-02-01,1982,2,27.15481536,473.2878689,-446.1330536,-446.1330536,-1356.840985,-2400.032479,-2974.139544,-3689.019455,-1.037919854,-1.327557124,-1.002597616,0.2133644941,1.28432233
Napak,1982-03-01,1982,3,31.18232612,489.8857144,-458.7033883,-458.7033883,-1362.909211,-2590.73329,-3187.2484,-3878.257238,-1.158936554,-1.35104934,-1.517347086,-0.4168654228,0.6361463345
Napak,1982-04-01,1982,4,182.8812891,413.816718,-230.9354289,-230.9354289,-1135.771871,-2435.991712,-3299.001647,-3885.689956,1.033823407,-0.4717217035,-1.099660633,-0.7473549251,0.610687836
Napak,1982-05-01,1982,5,250.5827299,380.6909535,-130.1082236,-130.1082236,-819.7470408,-2176.588025,-3219.77952,-3793.886585,2.004503652,0.7517203167,-0.3994648143,-0.513070178,0.925132133
Napak,1982-06-01,1982,6,108.8582336,365.2783896,-256.420156,-256.420156,-617.4638085,-1980.37302,-3208.197098,-3804.712208,0.7884777078,1.534829056,0.1301688555,-0.4788173133,0.8880522798
Napak,1982-07-01,1982,7,109.271754,353.387749,-244.115995,-244.115995,-630.6443746,-1766.416245,-3066.636087,-3929.646022,0.9069319087,1.483802501,0.7076920241,-0.06017687522,0.4601298139
Napak,1982-08-01,1982,8,140.5866852,384.1938857,-243.6072004,-243.6072004,-744.1433514,-1563.890392,-2920.731377,-3963.922872,0.9118301585,1.044408491,1.25436026,0.3713092435,0.3427249749
Napak,1982-09-01,1982,9,55.14191227,407.1456654,-352.0037531,-352.0037531,-839.7269485,-1457.190757,-2820.099969,-4047.924047,-0.1317214509,0.6743711454,1.542369422,0.6689079706,0.0550047084
