comparison,candidate_encoding,depth,seed,rmse_improvement_vs_ry,mae_improvement_vs_ry,pearson_improvement_vs_ry,kge_improvement_vs_ry,fft_improvement_vs_ry
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,1,42,-0.6922780363764787,-1.9129734519812516,-0.016961550526180535,-0.03281646783351572,-0.13961208280572457
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,1,43,0.7490607595717336,-1.1378923860193595,0.028823463125343785,0.008654460519480184,-0.14866950882537833
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,1,44,-3.9670199151521643,-5.922472019296855,-0.1383109505382194,-0.1626068437813461,-0.1987895316400552
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,1,45,-1.6023584809293965,-2.609249162549659,-0.050047307705744004,-0.0254236673966972,-0.13905808116933893
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,1,46,-0.32554738431165475,-1.1864733997869976,-0.007608909488163618,-0.004955852455858306,-0.06352620255798325
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,2,42,0.9401238142563955,-1.7409869414999974,-0.08304471084171011,-0.27465502883403237,-0.29408702985656676
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,2,43,-5.0458258890150915,-3.279328199613097,-0.09906991418293709,-0.004346781272200603,-0.18762350960311147
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,2,44,-8.271111482623418,-5.645782363608134,-0.26668429482934286,-0.2425804447885814,-0.5528674288078854
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,2,45,-2.4433142848854743,-2.628152828333711,-0.06593911445920181,-0.0371088639923117,-0.40667437927209005
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,2,46,-1.7788279695931024,-2.623322137305138,-0.0772267569225254,-0.212182945147424,-0.23281466219875846
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,3,42,-3.236501076645439,-3.4085496110388576,-0.12670556748616707,-0.1609226835447976,-0.0429880849347698
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,3,43,6.270953931593539,5.194197127148101,-0.05174586410019219,-0.23108154480912702,0.019835855770355515
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,3,44,-13.372081822216629,-8.366615932619624,-0.1826987103251768,0.0390647802260642,0.057228637994457654
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,3,45,-0.2642537058215737,1.747603980682456,0.012027126840921804,0.12173554970926538,0.37875659234470943
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,3,46,3.750800591666078,2.7693571328004722,0.024679761272154876,-0.03676457104029851,-0.09052849133799745
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,4,42,2.3175416828318447,0.8418928506545598,-0.1047121786549143,-0.3245965270169344,-0.4307320532929306
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,4,43,-2.4661683526459512,-2.2139706768312664,-0.11580315476519398,-0.2320279059594254,-0.2182164929580418
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,4,44,-5.915564955310387,-1.8784055259619663,-0.1171559726487392,-0.036045049323324904,-0.2123842688629164
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,4,45,4.605444684491793,4.400635862353418,0.13559775571612293,0.05571104806705529,-0.020494557284107318
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,4,46,5.163291032370196,4.608022767276324,0.0453942301380002,-0.08006065453863359,0.07345386994899294
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,5,42,1.8415616747250567,-1.2334491436331945,-0.08922155272796692,-0.4021733433871577,-0.21350254739296992
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,5,43,2.4225295025275813,1.8320390630217886,0.01698224677530269,-0.1812221489012979,0.21885159409618316
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,5,44,2.139941688533284,0.9680397201563267,0.083692277357034,-0.0712439343234344,0.0802047193982266
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,5,45,1.3054745514521073,2.5322163373555,0.054047923501033907,0.0034027351439361,0.24661647780547324
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,5,46,-0.5654944187785986,1.849067100199882,-0.028528350811565795,-0.03810594326637359,0.01930241050623771
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,6,42,0.00141629255652731,0.15322976519011888,0.0937028951122828,0.08627785024641227,0.0172214244967982
