encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
ry,1,42,1,104,0.0227613346975401,0.0421935694173307,0.0031698079806311,7.98930215897336e-06,0.2008962826545142,0.97723866530246,-6.064310955816411,0.0023243590489581,372.9217076844981,51.93413395466139
ry,1,42,2,103,0.0028850203155557,0.0072576089572578,1.979872603495319e-05,6.514895460324871e-09,0.0480491272714391,0.9971149796844442,-10.415659929534556,2.995962459698171e-05,47.26817285006536,0.324382327356673
ry,1,42,3,102,0.0001499338208918,0.0003975671581486,2.562183281770157e-06,6.80242829512048e-14,0.0021855930656124,0.999850066179108,-14.81036382955714,3.697776974562814e-07,2.4565157214915905,0.0419788108885222
ry,1,42,4,101,1.0739448539134074e-05,3.675253801421303e-05,3.9383355051197345e-08,7.757004644720389e-14,0.0002403917414939,0.9999892605514608,-17.969239210712377,1.5705745899100416e-08,0.1759551248651726,0.0006452568891588
ry,1,42,5,100,1.982121338425865e-05,0.0001076575698717,1.3910236050797136e-10,8.957242276710039e-17,0.0009412181767914,0.9999801787866158,-21.701364039613363,3.7602554364752677e-10,0.3247507600876936,2.279053074562603e-06
ry,1,42,6,99,0.0001109580866408,0.0007504796767281,8.830694595814114e-12,2.6278931701625626e-17,0.0070822532562856,0.9998890419133591,-24.38298733616621,2.5739680249264815e-11,1.8179372915229004,1.4468210025781845e-07
ry,1,42,7,98,0.0002116814986422,0.0009831477331514,1.7161180130533731e-09,2.0207803622366842e-19,0.0062818877953473,0.9997883185013576,-21.455694188147675,4.807401655478271e-10,3.468189673754693,2.8116877525866465e-05
ry,1,42,8,97,9.061399607038532e-06,5.242499760449921e-05,1.4182933736075814e-08,6.1080047807820244e-15,0.0005078398543596,0.9999909386003928,-18.922460491185333,6.054521484726792e-09,0.1484619711617193,0.0002323731863318
ry,1,42,9,96,6.405702644597018e-05,0.0002831936431464,1.134993863446292e-06,1.4389009076556042e-12,0.0019028100343369,0.999935942973554,-14.728271161454357,4.014145466502857e-07,1.0495103212907757,0.018595739458704
ry,1,42,10,95,0.0010727912744601,0.0024553419093947,1.2207228746887057e-05,3.405657337682905e-10,0.014195379668844,0.99892720872554,-11.162008298820403,1.4203696663510298e-05,17.576612240755384,0.2000032357889975
ry,1,42,11,94,0.0083437243212723,0.0189505654094344,9.700476158546182e-05,5.14864669108697e-08,0.0690232165375897,0.9916562756787276,-8.852948352700407,0.0001429596189281,136.70357927972577,1.5893260138162064
ry,1,42,12,93,0.0055234276221065,0.0253278014065823,0.0011050554671106,7.98320956925602e-07,0.2431467550228108,0.9944765723778936,-7.117241013000536,0.0008110012090788,90.49583816059427,18.105228773140507
ry,1,42,13,92,0.006543573221925,0.0182433877585747,0.0001063876333171,7.834890742715465e-10,0.1230250147563858,0.993456426778075,-9.446242452268338,7.89858012812094e-05,107.20990366801924,1.743054984267789
ry,1,42,14,91,0.0025147822372021,0.0113743123682229,3.823661624254673e-06,3.2846695570310756e-11,0.0840799022091291,0.9974852177627976,-12.7782733104272,2.8214113755658024e-06,41.20219217432,0.0626468720517885
ry,1,42,15,90,5.35491487272342e-05,0.0002053710101795,2.692837606670754e-07,4.7545112239729474e-11,0.0016928431002706,0.9999464508512728,-14.704612631552497,4.110246569985368e-07,0.8773492527470051,0.0044119451347693
