encoding,depth,tau,n_seeds,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,sd_median_fidelity_across_seeds,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
learnable_seasonal_cdf,1,1,5,0.007211104407701219,0.0079200950524212,0.004323583577853657,0.005314440180559861,0.002802500825455374,118.14673461577729,129.7628373388693
learnable_seasonal_cdf,1,2,5,0.001703439455893678,0.0019123595328486554,0.0010715331901557722,0.0013293337508669715,0.0010121409010397946,27.909152045362568,31.33209858619232
learnable_seasonal_cdf,1,3,5,5.980428796843229e-05,0.00012462582166639338,2.618220369611987e-05,5.512264524251728e-05,2.712222455298439e-05,0.9798334540748368,2.0418694621822833
learnable_seasonal_cdf,1,4,5,1.7260490599068007e-06,3.4000961855137508e-06,7.031957637348826e-07,1.3775273085033223e-06,3.682520131073772e-07,0.02827958779751296,0.05570717590345729
learnable_seasonal_cdf,1,5,5,2.46627142396096e-07,4.237757451315813e-07,5.8016398944420666e-09,6.740117017462385e-09,4.732155027349686e-09,0.0040407391010175795,0.006943141808235819
learnable_seasonal_cdf,1,6,5,8.837549383525312e-09,1.407854461775871e-08,2.907232200573372e-10,4.547580571456277e-10,1.4906873770637538e-10,0.00014479440909964897,0.00023066287501732747
learnable_seasonal_cdf,1,7,5,3.348024254898221e-07,4.470662293982394e-07,2.2600269217270117e-09,2.619947933603289e-09,2.9738662006567196e-09,0.0054854029392252335,0.007324733102460752
learnable_seasonal_cdf,1,8,5,2.6459490454490082e-06,5.235495406753951e-06,1.6003336725791888e-06,3.3088713492031887e-06,6.761796659536785e-07,0.043351229160636495,0.08577835674425671
learnable_seasonal_cdf,1,9,5,5.519149789554141e-05,0.00011628887247663016,2.762898643460983e-05,5.9439666374575255e-05,2.5691907483781807e-05,0.9042575015206484,1.905276886657328
learnable_seasonal_cdf,1,10,5,0.0018398543260192655,0.0022194830735591405,0.0009914631051770946,0.0012327309528696751,0.0009982037292804032,30.144173277500347,36.364010677193
learnable_seasonal_cdf,1,11,5,0.00463819971062477,0.004696857344409405,0.0028535033517656056,0.002901844453997544,0.002123953541440041,75.99226405887717,76.95331073080395
learnable_seasonal_cdf,1,12,5,0.46996981378397507,0.06477997877251326,0.456180098078616,0.06022278205222291,0.4522609889159187,7699.985429036649,1061.3551722088573
learnable_seasonal_cdf,1,13,5,0.00524383812291738,0.005760450074211762,0.0036564374868600703,0.003654359825935586,0.0029159384738038753,85.91504380587949,94.3792140158858
learnable_seasonal_cdf,1,14,5,0.00174386902279666,0.0020476326468842564,0.0009481392201976184,0.0010946135893687675,0.0009066335411944358,28.5715500695014,33.54841328655128
learnable_seasonal_cdf,1,15,5,4.481993296088579e-05,9.08162824675108e-05,2.7443975466048737e-05,5.764487008126464e-05,2.593209768702646e-05,0.7343297816312562,1.4879339719479279
learnable_seasonal_cdf,1,16,5,1.3514271749359026e-06,2.2573351840896607e-06,5.374214678190277e-07,1.100520970970483e-06,3.604355859964641e-07,0.022141782834149783,0.03698417965612498
learnable_seasonal_cdf,1,17,5,1.8314181022656483e-07,3.272310736352681e-07,1.0077295530955894e-08,1.759799506057837e-08,7.936849847375895e-09,0.003000595418752019,0.005361353910440219
learnable_seasonal_cdf,1,18,5,3.896079694677858e-09,5.741205463073012e-09,5.3057558670457547e-11,1.0972192136150453e-10,3.6283575000863905e-11,6.38333697175961e-05,9.406391030697537e-05
learnable_seasonal_cdf,1,19,5,9.298897763301473e-08,1.8085859975139156e-07,1.0339450320306328e-08,1.8418126961819395e-08,7.0150926801931305e-09,0.0015235314095392706,0.002963187298326777
learnable_seasonal_cdf,1,20,5,1.8923838283952125e-06,3.761561489941768e-06,8.350928908508703e-07,1.7129214323822282e-06,6.495974296290513e-07,0.03100481664442714,0.061629423451205936
learnable_seasonal_cdf,1,21,5,6.646212143653683e-05,0.00014045262207085452,3.432716114565639e-05,7.417495857588558e-05,3.1514203585172256e-05,1.0889153976162578,2.3011757600089666
learnable_seasonal_cdf,1,22,5,0.0018634060965065941,0.0022347559719321838,0.0015096182953461155,0.0018811829144701636,0.0009538469632399246,30.5300454851648,36.614241844137354
learnable_seasonal_cdf,1,23,5,0.00419627605764711,0.004920064641864996,0.003100836376199761,0.003215731500309264,0.002198771380575718,68.75178692849089,80.61033909231601
learnable_seasonal_cdf,1,24,5,0.4396367956768074,0.0643047464400645,0.48650301627880727,0.0677018543002923,0.3977918663156658,7203.009260368813,1053.5689656740167
learnable_seasonal_cdf,1,25,5,0.0057934432800362794,0.006897421126680224,0.002635557089850779,0.0024512410352429733,0.0026777590821531866,94.91977470011524,113.00734773952912
learnable_seasonal_cdf,1,26,5,0.00186401363589302,0.002176732175919705,0.001272798999770164,0.0015468529218815319,0.0009747855659627605,30.539999410472056,35.66357997026841
learnable_seasonal_cdf,1,27,5,5.0385575575047957e-05,0.00010495020553116245,3.0967492139099774e-05,6.673426422275388e-05,3.08245359948228e-05,0.8255172702217963,1.7195041674230367
learnable_seasonal_cdf,1,28,5,1.1852493640217724e-06,2.204980783121947e-06,4.7904770201184e-07,9.505001065094656e-07,2.983188315038119e-07,0.019419125580132656,0.03612640515066996
learnable_seasonal_cdf,1,29,5,6.603874473590284e-08,7.632335616911079e-08,6.987366300399592e-09,1.3854186229666913e-08,7.316879095939439e-09,0.0010819787937530068,0.0012504818674746736
learnable_seasonal_cdf,1,30,5,3.4109936119750697e-09,5.047930217338998e-09,1.753732679511971e-10,2.5428451639432726e-10,1.3053652547867523e-10,5.588571933858487e-05,8.270528868085171e-05
learnable_seasonal_cdf,1,31,5,1.283537387951624e-07,2.3609644300657932e-07,1.5716628628719392e-08,2.8022923908174688e-08,1.0391939753083398e-08,0.002102947656419924,0.0038682041222197843
learnable_seasonal_cdf,1,32,5,9.0714810746849e-07,1.5343783531439564e-06,3.594625686637515e-07,7.32237574940467e-07,2.3019734015051566e-07,0.014862714592763716,0.025139254937910582
learnable_seasonal_cdf,1,33,5,4.997771406692441e-05,0.00010708946664000678,3.8698299634549886e-05,8.500648463378856e-05,3.202408349748663e-05,0.8188348672726157,1.7545538214301533
learnable_seasonal_cdf,1,34,5,0.001917322957266755,0.0025424716454882958,0.000809145654235865,0.0009925656473733068,0.0007436861992002981,31.41341933185887,41.65585543968031
