encoding,depth,seed,pair_index,target_index_t,target_index_t_plus_12,epsilon,delta_norm,exact_fidelity_tau12,exact_infidelity_tau12,D_state_derivative,D_fidelity_curvature,relative_method_difference
ry,6,42,0,434,446,0.01,1.1663426585041494,3.33865937182031e-05,0.9999666134062818,21.769810356824003,21.792786765659766,0.0010554253095990396
ry,6,42,0,434,446,0.003,1.1663426585041494,3.33865937182031e-05,0.9999666134062818,21.8125230148099,21.814594847840368,9.498364902859081e-05
ry,6,42,0,434,446,0.001,1.1663426585041494,3.33865937182031e-05,0.9999666134062818,21.81628319105021,21.816513436578866,1.0553838462722841e-05
ry,6,42,0,434,446,0.0003,1.1663426585041494,3.33865937182031e-05,0.9999666134062818,21.816710964562095,21.8167317131732,9.510421227229006e-07
ry,6,42,6,440,452,0.01,1.9555505215100843,0.00015293645132791084,0.9998470635486721,57.9197005989845,58.08775986533843,0.0029015907301992378
ry,6,42,6,440,452,0.003,1.9555505215100843,0.00015293645132791084,0.9998470635486721,58.2286329445245,58.24383816058518,0.000261129538712765
ry,6,42,6,440,452,0.001,1.9555505215100843,0.00015293645132791084,0.9998470635486721,58.2558961734937,58.25758642558077,2.901426633335217e-05
ry,6,42,6,440,452,0.0003,1.9555505215100843,0.00015293645132791084,0.9998470635486721,58.258998437039665,58.2591505809354,2.6115089482187744e-06
ry,6,42,12,446,458,0.01,1.8489683281196787,0.0002263544178080042,0.999773645582192,52.65629821004717,52.78500474375169,0.0024442761470073373
ry,6,42,12,446,458,0.003,1.8489683281196787,0.0002263544178080042,0.999773645582192,52.902886081590204,52.91452356439821,0.00021997822179412678
ry,6,42,12,446,458,0.001,1.8489683281196787,0.0002263544178080042,0.999773645582192,52.92463654911049,52.925930131619836,2.4441972466783022e-05
ry,6,42,12,446,458,0.0003,1.8489683281196787,0.0002263544178080042,0.999773645582192,52.92711140794799,52.92722782576951,2.19958766738784e-06
ry,6,42,18,452,464,0.01,1.8362243881506015,5.494556315676638e-05,0.9999450544368432,48.57070228307904,48.68914057746865,0.002438471935187023
ry,6,42,18,452,464,0.003,1.8362243881506015,5.494556315676638e-05,0.9999450544368432,48.78501707667829,48.79572283060672,0.00021944757980933423
ry,6,42,18,452,464,0.001,1.8362243881506015,5.494556315676638e-05,0.9999450544368432,48.80391734601189,48.805107329130685,2.4382942671487356e-05
ry,6,42,18,452,464,0.0003,1.8362243881506015,5.494556315676638e-05,0.9999450544368432,48.80606786125411,48.80617496384589,2.1944523801484162e-06
ry,6,42,25,459,471,0.01,1.8255469467011034,6.140943754722559e-05,0.9999385905624528,42.43612871836614,42.53035218202028,0.0022203595497475043
ry,6,42,25,459,471,0.003,1.8255469467011034,6.140943754722559e-05,0.9999385905624528,42.603611376526764,42.61212436953062,0.000199818577083002
ry,6,42,25,459,471,0.001,1.8255469467011034,6.140943754722559e-05,0.9999385905624528,42.6183768216038,42.61932303112337,2.220191359068962e-05
ry,6,42,25,459,471,0.0003,1.8255469467011034,6.140943754722559e-05,0.9999385905624528,42.62005681873391,42.62014197243937,1.9979725936330743e-06
ry,6,42,31,465,477,0.01,1.3459454543930762,5.1262011858011777e-05,0.999948737988142,27.098910824650726,27.135037066218224,0.0013331252241560712
ry,6,42,31,465,477,0.003,1.3459454543930762,5.1262011858011777e-05,0.999948737988142,27.164950286884032,27.16820950761213,0.00011997889536616136
ry,6,42,31,465,477,0.001,1.3459454543930762,5.1262011858011777e-05,0.999948737988142,27.17076611422676,27.17112833144908,1.3331137620419694e-05
